x,y,t,i,n
4,24,1,0,1
4,25,1,0,1
4,26,1,0,1
4,27,1,0,1
4,28,1,0,1
4,29,1,0,1
4,30,1,0,1
4,31,1,0,1
4,32,1,0,1
4,33,1,1,1
4,34,1,0,1
4,35,1,0,1
4,36,1,0,1
4,37,1,0,1
4,38,1,0,1
4,39,1,0,1
4,40,1,0,1
4,41,1,0,1
4,42,1,0,1
4,43,1,0,1
4,44,1,0,1
4,45,1,0,1
4,46,1,1,1
4,47,1,0,1
4,48,1,0,1
4,49,1,1,1
4,50,1,0,1
4,51,1,0,1
4,52,1,1,1
4,53,1,0,1
4,54,1,0,1
4,55,1,1,1
4,56,1,0,1
4,57,1,0,1
4,58,1,0,1
4,59,1,0,1
4,60,1,0,1
5,1,1,0,1
5,2,1,0,1
5,3,1,0,1
5,4,1,0,1
5,5,1,0,1
5,6,1,0,1
5,7,1,0,1
5,8,1,0,1
5,9,1,0,1
5,10,1,0,1
5,11,1,0,1
5,12,1,1,1
5,13,1,0,1
5,14,1,0,1
5,15,1,0,1
5,16,1,0,1
5,17,1,0,1
5,18,1,0,1
5,19,1,0,1
5,20,1,0,1
5,21,1,0,1
5,22,1,0,1
5,23,1,0,1
5,24,1,0,1
5,25,1,0,1
5,26,1,1,1
5,27,1,0,1
5,28,1,0,1
5,29,1,0,1
5,30,1,0,1
5,31,1,0,1
5,32,1,0,1
5,33,1,0,1
5,34,1,0,1
5,35,1,0,1
5,36,1,0,1
5,37,1,0,1
5,38,1,0,1
5,39,1,0,1
5,40,1,0,1
5,41,1,0,1
5,42,1,0,1
5,43,1,0,1
5,44,1,0,1
5,45,1,0,1
5,46,1,1,1
5,47,1,1,1
5,48,1,0,1
5,49,1,0,1
5,50,1,0,1
5,51,1,0,1
5,52,1,0,1
5,53,1,0,1
5,54,1,0,1
5,55,1,0,1
5,56,1,0,1
5,57,1,1,1
5,58,1,0,1
5,59,1,1,1
5,60,1,1,1
6,1,1,1,1
6,2,1,0,1
6,3,1,0,1
6,4,1,1,1
6,5,1,0,1
6,6,1,0,1
6,7,1,1,1
6,8,1,0,1
6,9,1,0,1
6,10,1,0,1
6,11,1,0,1
6,12,1,0,1
6,13,1,0,1
6,14,1,0,1
6,15,1,0,1
6,16,1,0,1
6,17,1,0,1
6,18,1,0,1
6,19,1,0,1
6,20,1,0,1
6,21,1,0,1
6,22,1,0,1
6,23,1,0,1
6,24,1,0,1
6,25,1,0,1
6,26,1,0,1
6,27,1,0,1
6,28,1,0,1
6,29,1,0,1
6,30,1,0,1
6,31,1,0,1
6,32,1,0,1
6,33,1,0,1
6,34,1,0,1
6,35,1,0,1
6,36,1,1,1
6,37,1,0,1
6,38,1,0,1
6,39,1,1,1
6,40,1,0,1
6,41,1,0,1
6,42,1,0,1
6,43,1,0,1
6,44,1,0,1
6,45,1,0,1
6,46,1,0,1
6,47,1,0,1
6,48,1,0,1
6,49,1,0,1
6,50,1,0,1
6,51,1,0,1
6,52,1,0,1
6,53,1,0,1
6,54,1,0,1
6,55,1,0,1
6,56,1,0,1
6,57,1,1,1
6,58,1,1,1
6,59,1,0,1
6,60,1,0,1
7,1,1,0,1
7,2,1,0,1
7,3,1,0,1
7,4,1,0,1
7,5,1,0,1
7,6,1,0,1
7,7,1,0,1
7,8,1,1,1
7,9,1,0,1
7,10,1,0,1
7,11,1,0,1
7,12,1,1,1
7,13,1,0,1
7,14,1,1,1
7,15,1,0,1
7,16,1,1,1
7,17,1,0,1
7,18,1,0,1
7,19,1,0,1
7,20,1,1,1
7,21,1,0,1
7,22,1,0,1
7,23,1,0,1
7,24,1,1,1
7,25,1,0,1
7,26,1,0,1
7,27,1,1,1
7,28,1,0,1
7,29,1,0,1
7,30,1,0,1
7,31,1,0,1
7,32,1,0,1
7,33,1,0,1
7,34,1,0,1
7,35,1,0,1
7,36,1,0,1
7,37,1,0,1
7,38,1,0,1
7,39,1,0,1
7,40,1,0,1
7,41,1,0,1
7,42,1,0,1
7,43,1,0,1
7,44,1,0,1
7,45,1,0,1
7,46,1,0,1
7,47,1,0,1
7,48,1,0,1
7,49,1,1,1
7,50,1,0,1
7,51,1,0,1
7,52,1,0,1
7,53,1,1,1
7,54,1,0,1
7,55,1,0,1
7,56,1,0,1
7,57,1,0,1
7,58,1,0,1
7,59,1,1,1
7,60,1,0,1
8,1,1,0,1
8,2,1,0,1
8,3,1,0,1
8,4,1,0,1
8,5,1,0,1
8,6,1,0,1
8,7,1,0,1
8,8,1,1,1
8,9,1,1,1
8,10,1,0,1
8,11,1,0,1
8,12,1,0,1
8,13,1,0,1
8,14,1,0,1
8,15,1,0,1
8,16,1,1,1
8,17,1,0,1
8,18,1,0,1
8,19,1,0,1
8,20,1,0,1
8,21,1,0,1
8,22,1,0,1
8,23,1,0,1
8,24,1,0,1
8,25,1,0,1
8,26,1,0,1
8,27,1,0,1
8,28,1,0,1
8,29,1,1,1
8,30,1,0,1
8,31,1,0,1
8,32,1,0,1
8,33,1,0,1
8,34,1,1,1
8,35,1,0,1
8,36,1,1,1
8,37,1,0,1
8,38,1,0,1
8,39,1,1,1
8,40,1,0,1
8,41,1,0,1
8,42,1,0,1
8,43,1,0,1
8,44,1,0,1
8,45,1,0,1
8,46,1,0,1
8,47,1,0,1
8,48,1,0,1
8,49,1,1,1
8,50,1,0,1
8,51,1,0,1
8,52,1,0,1
8,53,1,0,1
8,54,1,0,1
8,55,1,1,1
8,56,1,0,1
8,57,1,0,1
8,58,1,0,1
8,59,1,0,1
8,60,1,1,1
9,1,1,0,1
9,2,1,0,1
9,3,1,0,1
9,4,1,0,1
9,5,1,0,1
9,6,1,0,1
9,7,1,0,1
9,8,1,1,1
9,9,1,1,1
9,10,1,0,1
9,11,1,1,1
9,12,1,0,1
9,13,1,0,1
9,14,1,0,1
9,15,1,0,1
9,16,1,0,1
9,17,1,0,1
9,18,1,0,1
9,19,1,0,1
9,20,1,0,1
9,21,1,0,1
9,22,1,0,1
9,23,1,1,1
9,24,1,0,1
9,25,1,1,1
9,26,1,1,1
9,27,1,0,1
9,28,1,0,1
9,29,1,0,1
9,30,1,0,1
9,31,1,0,1
9,32,1,0,1
9,33,1,0,1
9,34,1,1,1
9,35,1,0,1
9,36,1,0,1
9,37,1,0,1
9,38,1,0,1
9,39,1,0,1
9,40,1,0,1
9,41,1,0,1
9,42,1,0,1
9,43,1,1,1
9,44,1,0,1
9,45,1,0,1
9,46,1,0,1
9,47,1,0,1
9,48,1,0,1
9,49,1,0,1
9,50,1,0,1
9,51,1,0,1
9,52,1,0,1
9,53,1,0,1
9,54,1,0,1
9,55,1,1,1
9,56,1,0,1
9,57,1,1,1
9,58,1,0,1
9,59,1,1,1
9,60,1,1,1
10,1,1,0,1
10,2,1,0,1
10,3,1,0,1
10,4,1,0,1
10,5,1,0,1
10,6,1,1,1
10,7,1,0,1
10,8,1,0,1
10,9,1,0,1
10,10,1,0,1
10,11,1,0,1
10,12,1,0,1
10,13,1,1,1
10,14,1,1,1
10,15,1,0,1
10,16,1,1,1
10,17,1,0,1
10,18,1,0,1
10,19,1,0,1
10,20,1,0,1
10,21,1,0,1
10,22,1,0,1
10,23,1,0,1
10,24,1,0,1
10,25,1,0,1
10,26,1,0,1
10,27,1,0,1
10,28,1,0,1
10,29,1,0,1
10,30,1,0,1
10,31,1,0,1
10,32,1,0,1
10,33,1,0,1
10,34,1,0,1
10,35,1,0,1
10,36,1,1,1
10,37,1,1,1
10,38,1,0,1
10,39,1,0,1
10,40,1,1,1
10,41,1,0,1
10,42,1,0,1
10,43,1,0,1
10,44,1,1,1
10,45,1,1,1
10,46,1,1,1
10,47,1,0,1
10,48,1,0,1
10,49,1,0,1
10,50,1,0,1
10,51,1,0,1
10,52,1,1,1
10,53,1,0,1
10,54,1,0,1
10,55,1,0,1
10,56,1,0,1
10,57,1,0,1
10,58,1,0,1
10,59,1,0,1
10,60,1,0,1
11,1,1,0,1
11,2,1,0,1
11,3,1,0,1
11,4,1,0,1
11,5,1,0,1
11,6,1,0,1
11,7,1,0,1
11,8,1,1,1
11,9,1,0,1
11,10,1,0,1
11,11,1,0,1
11,12,1,0,1
11,13,1,0,1
11,14,1,1,1
11,15,1,1,1
11,16,1,0,1
11,17,1,0,1
11,18,1,1,1
11,19,1,0,1
11,20,1,0,1
11,21,1,0,1
11,22,1,0,1
11,23,1,0,1
11,24,1,0,1
11,25,1,0,1
11,26,1,0,1
11,27,1,0,1
11,28,1,0,1
11,29,1,0,1
11,30,1,0,1
11,31,1,0,1
11,32,1,0,1
11,33,1,0,1
11,34,1,0,1
11,35,1,0,1
11,36,1,0,1
11,37,1,0,1
11,38,1,0,1
11,39,1,0,1
11,40,1,0,1
11,41,1,0,1
11,42,1,1,1
11,43,1,1,1
11,44,1,0,1
11,45,1,0,1
11,46,1,0,1
11,47,1,0,1
11,48,1,0,1
11,49,1,0,1
11,50,1,1,1
11,51,1,0,1
11,52,1,0,1
11,53,1,0,1
11,54,1,0,1
11,55,1,0,1
11,56,1,0,1
11,57,1,1,1
11,58,1,0,1
11,59,1,1,1
11,60,1,0,1
12,1,1,1,1
12,2,1,0,1
12,3,1,0,1
12,4,1,0,1
12,5,1,0,1
12,6,1,0,1
12,7,1,0,1
12,8,1,0,1
12,9,1,0,1
12,10,1,0,1
12,11,1,0,1
12,12,1,0,1
12,13,1,0,1
12,14,1,0,1
12,15,1,0,1
12,16,1,0,1
12,17,1,0,1
12,18,1,0,1
12,19,1,0,1
12,20,1,0,1
12,21,1,0,1
12,22,1,0,1
12,23,1,1,1
12,24,1,0,1
12,25,1,0,1
12,26,1,0,1
12,27,1,0,1
12,28,1,1,1
12,29,1,0,1
12,30,1,0,1
12,31,1,0,1
12,32,1,0,1
12,33,1,0,1
12,34,1,1,1
12,35,1,0,1
12,36,1,0,1
12,37,1,0,1
12,38,1,1,1
12,39,1,0,1
12,40,1,0,1
12,41,1,0,1
12,42,1,0,1
12,43,1,0,1
12,44,1,0,1
12,45,1,0,1
12,46,1,0,1
12,47,1,0,1
12,48,1,0,1
12,49,1,0,1
12,50,1,0,1
12,51,1,0,1
12,52,1,0,1
12,53,1,0,1
12,54,1,0,1
12,55,1,0,1
12,56,1,0,1
12,57,1,0,1
12,58,1,0,1
12,59,1,0,1
12,60,1,0,1
13,1,1,0,1
13,2,1,1,1
13,3,1,0,1
13,4,1,0,1
13,5,1,1,1
13,6,1,0,1
13,7,1,0,1
13,8,1,0,1
13,9,1,0,1
13,10,1,0,1
13,11,1,0,1
13,12,1,1,1
13,13,1,0,1
13,14,1,0,1
13,15,1,0,1
13,16,1,0,1
13,17,1,0,1
13,18,1,0,1
13,19,1,0,1
13,20,1,1,1
13,21,1,1,1
13,22,1,0,1
13,23,1,0,1
13,24,1,0,1
13,25,1,0,1
13,26,1,0,1
13,27,1,0,1
13,28,1,0,1
13,29,1,1,1
13,30,1,0,1
13,31,1,0,1
13,32,1,0,1
13,33,1,1,1
13,34,1,0,1
13,35,1,0,1
13,36,1,0,1
13,37,1,1,1
13,38,1,1,1
13,39,1,1,1
13,40,1,0,1
13,41,1,0,1
13,42,1,0,1
13,43,1,0,1
13,44,1,0,1
13,45,1,0,1
13,46,1,0,1
13,47,1,1,1
13,48,1,0,1
13,49,1,0,1
13,50,1,0,1
13,51,1,0,1
13,52,1,0,1
13,53,1,0,1
13,54,1,0,1
13,55,1,0,1
13,56,1,0,1
13,57,1,0,1
13,58,1,1,1
13,59,1,0,1
13,60,1,1,1
14,1,1,0,1
14,2,1,0,1
14,3,1,1,1
14,4,1,0,1
14,5,1,1,1
14,6,1,0,1
14,7,1,0,1
14,8,1,0,1
14,9,1,0,1
14,10,1,0,1
14,11,1,0,1
14,12,1,0,1
14,13,1,0,1
14,14,1,0,1
14,15,1,0,1
14,16,1,0,1
14,17,1,0,1
14,18,1,1,1
14,19,1,0,1
14,20,1,1,1
14,21,1,0,1
14,22,1,1,1
14,23,1,0,1
14,24,1,0,1
14,25,1,0,1
14,26,1,0,1
14,27,1,0,1
14,28,1,0,1
14,29,1,0,1
14,30,1,0,1
14,31,1,0,1
14,32,1,0,1
14,33,1,0,1
14,34,1,0,1
14,35,1,1,1
14,36,1,1,1
14,37,1,0,1
14,38,1,0,1
14,39,1,1,1
14,40,1,0,1
14,41,1,0,1
14,42,1,0,1
14,43,1,0,1
14,44,1,0,1
14,45,1,0,1
14,46,1,1,1
14,47,1,0,1
14,48,1,0,1
14,49,1,0,1
14,50,1,1,1
14,51,1,0,1
14,52,1,1,1
14,53,1,0,1
14,54,1,0,1
14,55,1,0,1
14,56,1,0,1
14,57,1,0,1
14,58,1,0,1
14,59,1,0,1
14,60,1,1,1
15,1,1,0,1
15,2,1,0,1
15,3,1,0,1
15,4,1,0,1
15,5,1,0,1
15,6,1,0,1
15,7,1,0,1
15,8,1,1,1
15,9,1,0,1
15,10,1,0,1
15,11,1,0,1
15,12,1,0,1
15,13,1,0,1
15,14,1,0,1
15,15,1,0,1
15,16,1,1,1
15,17,1,0,1
15,18,1,1,1
15,19,1,0,1
15,20,1,0,1
15,21,1,1,1
15,22,1,1,1
15,23,1,1,1
15,24,1,0,1
15,25,1,0,1
15,26,1,0,1
15,27,1,1,1
15,28,1,0,1
15,29,1,0,1
15,30,1,0,1
15,31,1,0,1
15,32,1,0,1
15,33,1,0,1
15,34,1,1,1
15,35,1,1,1
15,36,1,1,1
15,37,1,0,1
15,38,1,0,1
15,39,1,0,1
15,40,1,0,1
15,41,1,0,1
15,42,1,0,1
15,43,1,0,1
15,44,1,1,1
15,45,1,0,1
15,46,1,0,1
15,47,1,0,1
15,48,1,0,1
15,49,1,0,1
15,50,1,0,1
15,51,1,1,1
15,52,1,0,1
15,53,1,0,1
15,54,1,0,1
15,55,1,0,1
15,56,1,0,1
15,57,1,0,1
15,58,1,0,1
15,59,1,0,1
15,60,1,1,1
16,1,1,1,1
16,2,1,0,1
16,3,1,0,1
16,4,1,0,1
16,5,1,0,1
16,6,1,0,1
16,7,1,0,1
16,8,1,0,1
16,9,1,0,1
16,10,1,0,1
16,11,1,0,1
16,12,1,0,1
16,13,1,0,1
16,14,1,0,1
16,15,1,0,1
16,16,1,0,1
16,17,1,0,1
16,18,1,0,1
16,19,1,0,1
16,20,1,0,1
16,21,1,0,1
16,22,1,1,1
16,23,1,0,1
16,24,1,0,1
16,25,1,0,1
16,26,1,1,1
16,27,1,1,1
16,28,1,0,1
16,29,1,1,1
16,30,1,0,1
16,31,1,0,1
16,32,1,1,1
16,33,1,1,1
16,34,1,0,1
16,35,1,0,1
16,36,1,0,1
16,37,1,1,1
16,38,1,0,1
16,39,1,0,1
16,40,1,0,1
16,41,1,0,1
16,42,1,1,1
16,43,1,0,1
16,44,1,0,1
16,45,1,0,1
16,46,1,0,1
16,47,1,0,1
16,48,1,0,1
16,49,1,0,1
16,50,1,0,1
16,51,1,0,1
16,52,1,0,1
16,53,1,1,1
16,54,1,0,1
16,55,1,0,1
16,56,1,0,1
16,57,1,0,1
16,58,1,0,1
16,59,1,0,1
16,60,1,0,1
17,1,1,0,1
17,2,1,1,1
17,3,1,0,1
17,4,1,0,1
17,5,1,0,1
17,6,1,0,1
17,7,1,0,1
17,8,1,1,1
17,9,1,0,1
17,10,1,1,1
17,11,1,0,1
17,12,1,1,1
17,13,1,0,1
17,14,1,0,1
17,15,1,0,1
17,16,1,1,1
17,17,1,1,1
17,18,1,0,1
17,19,1,0,1
17,20,1,0,1
17,21,1,0,1
17,22,1,0,1
17,23,1,0,1
17,24,1,0,1
17,25,1,0,1
17,26,1,0,1
17,27,1,0,1
17,28,1,0,1
17,29,1,0,1
17,30,1,1,1
17,31,1,0,1
17,32,1,1,1
17,33,1,0,1
17,34,1,0,1
17,35,1,0,1
17,36,1,0,1
17,37,1,1,1
17,38,1,0,1
17,39,1,0,1
17,40,1,0,1
17,41,1,1,1
17,42,1,1,1
17,43,1,0,1
17,44,1,0,1
17,45,1,0,1
17,46,1,0,1
17,47,1,0,1
17,48,1,0,1
17,49,1,0,1
17,50,1,1,1
17,51,1,1,1
17,52,1,1,1
17,53,1,0,1
17,54,1,0,1
17,55,1,0,1
17,56,1,0,1
17,57,1,0,1
17,58,1,0,1
17,59,1,0,1
17,60,1,0,1
18,1,1,0,1
18,2,1,0,1
18,3,1,1,1
18,4,1,0,1
18,5,1,0,1
18,6,1,0,1
18,7,1,0,1
18,8,1,0,1
18,9,1,1,1
18,10,1,0,1
18,11,1,1,1
18,12,1,0,1
18,13,1,0,1
18,14,1,0,1
18,15,1,1,1
18,16,1,0,1
18,17,1,0,1
18,18,1,0,1
18,19,1,1,1
18,20,1,0,1
18,21,1,0,1
18,22,1,0,1
18,23,1,0,1
18,24,1,0,1
18,25,1,0,1
18,26,1,0,1
18,27,1,0,1
18,28,1,0,1
18,29,1,0,1
18,30,1,0,1
18,31,1,0,1
18,32,1,0,1
18,33,1,0,1
18,34,1,1,1
18,35,1,1,1
18,36,1,0,1
18,37,1,0,1
18,38,1,0,1
18,39,1,0,1
18,40,1,1,1
18,41,1,0,1
18,42,1,0,1
18,43,1,0,1
18,44,1,0,1
18,45,1,0,1
18,46,1,0,1
18,47,1,0,1
18,48,1,0,1
18,49,1,0,1
18,50,1,0,1
18,51,1,0,1
18,52,1,0,1
18,53,1,0,1
18,54,1,0,1
18,55,1,0,1
18,56,1,0,1
18,57,1,1,1
18,58,1,0,1
18,59,1,0,1
18,60,1,0,1
19,1,1,1,1
19,2,1,1,1
19,3,1,1,1
19,4,1,0,1
19,5,1,1,1
19,6,1,0,1
19,7,1,1,1
19,8,1,1,1
19,9,1,0,1
19,10,1,0,1
19,11,1,0,1
19,12,1,1,1
19,13,1,0,1
19,14,1,0,1
19,15,1,0,1
19,16,1,0,1
19,17,1,0,1
19,18,1,0,1
19,19,1,0,1
19,20,1,0,1
19,21,1,0,1
19,22,1,0,1
19,23,1,0,1
19,24,1,0,1
19,25,1,0,1
19,26,1,0,1
19,27,1,0,1
19,28,1,0,1
19,29,1,0,1
19,30,1,0,1
19,31,1,1,1
19,32,1,0,1
19,33,1,1,1
19,34,1,0,1
19,35,1,0,1
19,36,1,0,1
19,37,1,1,1
19,38,1,0,1
19,39,1,0,1
19,40,1,0,1
19,41,1,1,1
19,42,1,1,1
19,43,1,0,1
19,44,1,0,1
19,45,1,0,1
19,46,1,1,1
19,47,1,0,1
19,48,1,0,1
19,49,1,0,1
19,50,1,0,1
19,51,1,0,1
19,52,1,0,1
19,53,1,0,1
19,54,1,0,1
19,55,1,1,1
19,56,1,0,1
19,57,1,0,1
19,58,1,1,1
19,59,1,0,1
19,60,1,1,1
20,1,1,0,1
20,2,1,1,1
20,3,1,0,1
20,4,1,0,1
20,5,1,0,1
20,6,1,0,1
20,7,1,1,1
20,8,1,0,1
20,9,1,0,1
20,10,1,0,1
20,11,1,0,1
20,12,1,0,1
20,13,1,0,1
20,14,1,1,1
20,15,1,1,1
20,16,1,0,1
20,17,1,0,1
20,18,1,0,1
20,19,1,0,1
20,20,1,0,1
20,21,1,1,1
20,22,1,1,1
20,23,1,0,1
20,24,1,0,1
20,25,1,0,1
20,26,1,0,1
20,27,1,0,1
20,28,1,1,1
20,29,1,0,1
20,30,1,0,1
20,31,1,0,1
20,32,1,0,1
20,33,1,0,1
20,34,1,0,1
20,35,1,0,1
20,36,1,0,1
20,37,1,1,1
20,38,1,0,1
20,39,1,0,1
20,40,1,1,1
20,41,1,0,1
20,42,1,1,1
20,43,1,0,1
20,44,1,0,1
20,45,1,0,1
20,46,1,0,1
20,47,1,1,1
20,48,1,0,1
20,49,1,0,1
20,50,1,0,1
20,51,1,0,1
20,52,1,0,1
20,53,1,0,1
20,54,1,0,1
20,55,1,0,1
20,56,1,1,1
20,57,1,0,1
20,58,1,1,1
20,59,1,1,1
20,60,1,0,1
21,1,1,0,1
21,2,1,0,1
21,3,1,0,1
21,4,1,0,1
21,5,1,0,1
21,6,1,1,1
21,7,1,0,1
21,8,1,0,1
21,9,1,0,1
21,10,1,0,1
21,11,1,0,1
21,12,1,1,1
21,13,1,0,1
21,14,1,0,1
21,15,1,0,1
21,16,1,1,1
21,17,1,0,1
21,18,1,0,1
21,19,1,0,1
21,20,1,0,1
21,21,1,0,1
21,22,1,0,1
21,23,1,0,1
21,24,1,0,1
21,25,1,0,1
21,26,1,0,1
21,27,1,0,1
21,28,1,0,1
21,29,1,0,1
21,30,1,0,1
21,31,1,0,1
21,32,1,1,1
21,33,1,0,1
21,34,1,0,1
21,35,1,1,1
21,36,1,0,1
21,37,1,1,1
21,38,1,1,1
21,39,1,0,1
21,40,1,1,1
21,41,1,1,1
21,42,1,1,1
21,43,1,0,1
21,44,1,0,1
21,45,1,0,1
21,46,1,1,1
21,47,1,1,1
21,48,1,1,1
21,49,1,0,1
21,50,1,0,1
21,51,1,0,1
21,52,1,1,1
21,53,1,1,1
21,54,1,0,1
21,55,1,0,1
21,56,1,1,1
21,57,1,0,1
21,58,1,1,1
21,59,1,1,1
21,60,1,0,1
22,1,1,0,1
22,2,1,0,1
22,3,1,0,1
22,4,1,0,1
22,5,1,1,1
22,6,1,0,1
22,7,1,0,1
22,8,1,0,1
22,9,1,0,1
22,10,1,0,1
22,11,1,0,1
22,12,1,0,1
22,13,1,0,1
22,14,1,0,1
22,15,1,0,1
22,16,1,0,1
22,17,1,0,1
22,18,1,0,1
22,19,1,0,1
22,20,1,0,1
22,21,1,0,1
22,22,1,1,1
22,23,1,0,1
22,24,1,0,1
22,25,1,0,1
22,26,1,0,1
22,27,1,1,1
22,28,1,0,1
22,29,1,0,1
22,30,1,0,1
22,31,1,0,1
22,32,1,0,1
22,33,1,0,1
22,34,1,0,1
22,35,1,0,1
22,36,1,1,1
22,37,1,0,1
22,38,1,0,1
22,39,1,0,1
22,40,1,1,1
22,41,1,0,1
22,42,1,1,1
22,43,1,0,1
22,44,1,0,1
22,45,1,0,1
22,46,1,1,1
22,47,1,0,1
22,48,1,1,1
22,49,1,0,1
22,50,1,0,1
22,51,1,0,1
22,52,1,0,1
22,53,1,0,1
22,54,1,0,1
22,55,1,1,1
22,56,1,0,1
22,57,1,0,1
22,58,1,0,1
22,59,1,0,1
22,60,1,0,1
23,1,1,0,1
23,2,1,0,1
23,3,1,0,1
23,4,1,0,1
23,5,1,1,1
23,6,1,0,1
23,7,1,0,1
23,8,1,0,1
23,9,1,0,1
23,10,1,0,1
23,11,1,1,1
23,12,1,0,1
23,13,1,0,1
23,14,1,0,1
23,15,1,0,1
23,16,1,1,1
23,17,1,0,1
23,18,1,1,1
23,19,1,1,1
23,20,1,0,1
23,21,1,0,1
23,22,1,0,1
23,23,1,1,1
23,24,1,0,1
23,25,1,1,1
23,26,1,0,1
23,27,1,0,1
23,28,1,0,1
23,29,1,1,1
23,30,1,0,1
23,31,1,0,1
23,32,1,0,1
23,33,1,0,1
23,34,1,0,1
23,35,1,1,1
23,36,1,0,1
23,37,1,0,1
23,38,1,0,1
23,39,1,0,1
23,40,1,0,1
23,41,1,0,1
23,42,1,0,1
23,43,1,0,1
23,44,1,0,1
23,45,1,0,1
23,46,1,0,1
23,47,1,0,1
23,48,1,0,1
23,49,1,0,1
23,50,1,0,1
23,51,1,0,1
23,52,1,0,1
23,53,1,0,1
23,54,1,1,1
23,55,1,0,1
23,56,1,0,1
23,57,1,0,1
23,58,1,0,1
23,59,1,0,1
23,60,1,1,1
24,1,1,0,1
24,2,1,0,1
24,3,1,0,1
24,4,1,1,1
24,5,1,0,1
24,6,1,0,1
24,7,1,0,1
24,8,1,0,1
24,9,1,0,1
24,10,1,0,1
24,11,1,0,1
24,12,1,0,1
24,13,1,0,1
24,14,1,0,1
24,15,1,0,1
24,16,1,1,1
24,17,1,1,1
24,18,1,0,1
